,time,I,R,D
0,0,0.0140952586166378,0.00584148435931712,7.50694642553679E-05
1,1,0.01338643220104,0.00693492510820903,7.93362899324048E-05
2,2,0.0128110107570009,0.00782542496083687,8.36031156094417E-05
3,3,0.0124109958497787,0.00844944821610352,8.78699412864786E-05
4,4,0.0120741166287464,0.00913994061512026,9.21367669635155E-05
5,5,0.0114320260335035,0.0101679122575301,9.64035926405524E-05
6,6,0.0113478228955332,0.0106045285287632,9.98037193519412E-05
7,7,0.0114179588425995,0.0108546711840795,0.00010320384606333
8,8,0.0103161844498072,0.0122170552889271,0.000106603972774719
9,9,0.00984596692636746,0.0128867469127683,0.000110004099486108
10,10,0.00924594456553414,0.0136581756613463,0.000113404226197496
11,11,0.00875119279445147,0.0144101370177729,0.000116804352908885
12,12,0.0081266361859752,0.0153045036811705,0.000120204479620274
13,13,0.00796523017091104,0.0157335196691663,0.000122404561609996
14,14,0.00791256154146011,0.0159976628462354,0.000124537974448514
15,15,0.00722480257764273,0.0168756288984369,0.000126738056438237
16,16,0.00667744884626034,0.0175600544046941,0.000128871469276755
17,17,0.00642130596733572,0.0179534690659472,0.000131071551266477
18,18,0.00600722386920953,0.018576225607341,0.000133204964104996
19,19,0.00532299837040594,0.0194716589771579,0.000135405046094718
20,20,0.00531246464451575,0.0196743331968171,0.00013707177487481
21,21,0.00548093758960751,0.019700467504089,0.000138738503654903
22,22,0.00501772032704419,0.0203130236653486,0.000140405232434995
23,23,0.0047405099963392,0.020706238319148,0.000142071961215088
24,24,0.00451243483007133,0.0210388507145033,0.00014373868999518
25,25,0.00417908907405283,0.0215392693634383,0.000145405418775273
26,26,0.00395101390778496,0.0219208169157771,0.000147072147555366
27,27,0.00394754711192237,0.022078889473281,0.000148272192277032
28,28,0.0039966156072083,0.0221782265085746,0.000149472236998699
29,29,0.00389841194748524,0.0224063016748424,0.000150672281720365
30,30,0.00374047272828367,0.02265211084,0.000151805657290828
